"","pop","fun","family","temp","rep","date","stage","num","count","per","fail","prop","success","ffun","ftemp","fpop","Failure","E1","Success","PRes2","PER","PERT"
"2506","MX","pev_tul","Tul","RT",2506,"D124",2,106,9,8.490566038,91.50943396,0.08490566,0.0849056603773585,"pev_tul","RT","MX",97,0.101378372629798,0.0849056603773585,3.50734036258151,0.08490566038,0.0872912600329885
"2507","MX","pev_tul","Tul","RT",2507,"D124",2,64,1,1.5625,98.4375,0.015625,0.015625,"pev_tul","RT","MX",63,-0.182737319331332,0.015625,-0.427469870045734,0.015625,0.0184087643678161
"2508","MX","pev_tul","Tul","RT",2508,"D124",2,97,2,2.06185567,97.93814433,0.020618557,0.0206185567010309,"pev_tul","RT","MX",95,-0.162259052966867,0.0206185567010309,-0.225478060948816,0.0206185567,0.023373622466092
"2509","MX","pev_tul","Tul","RT",2509,"D124",2,62,0,0,100,0,0,"pev_tul","RT","MX",62,-0.246814475388207,0,-1.15370063301696,0,0.0028735632183908
"2510","MX","pev_tul","Tul","RT",2510,"D124",2,44,5,11.36363636,88.63636364,0.113636364,0.113636363636364,"pev_tul","RT","MX",39,0.219201204876308,0.113636363636364,3.59273179454674,0.1136363636,0.115856844268966
"2511","MX","pev_tul","Tul","GC",2511,"D124",2,167,61,36.52694611,63.47305389,0.365269461,0.365269461077844,"pev_tul","GC","MX",106,0.196361486005382,0.365269461077844,0.450805449930174,0.3652694611,0.366043774541954
"2512","MX","pev_tul","Tul","GC",2512,"D124",2,237,68,28.69198312,71.30801688,0.286919831,0.286919831223629,"pev_tul","GC","MX",169,0.0224966936863494,0.286919831223629,-0.252057508826227,0.2869198312,0.288144429871264
"2513","MX","pev_tul","Tul","GC",2513,"D124",2,116,0,0,100,0,0,"pev_tul","GC","MX",116,-0.614203912653081,0,-2.75062824726455,0,0.0028735632183908
"2514","MX","pev_tul","Tul","GC",2514,"D124",2,181,51,28.17679558,71.82320442,0.281767956,0.281767955801105,"pev_tul","GC","MX",130,0.0110642242845441,0.281767955801105,-0.295495665556131,0.2817679558,0.283022162950575
"2515","MX","pev_tul","Tul","GC",2515,"D124",2,230,70,30.43478261,69.56521739,0.304347826,0.304347826086957,"pev_tul","GC","MX",160,0.0611709633375667,0.304347826086957,-0.0941372049275215,0.3043478261,0.305472263881034
"2516","MX","pev_tul","Tul","GC",2516,"D124",2,70,38,54.28571429,45.71428571,0.542857143,0.542857142857143,"pev_tul","GC","MX",32,0.590444335585959,0.542857142857143,1.91070556196259,0.5428571429,0.542610837481034
"2518","MX","pev_tul","Tul","GC",2518,"D124",2,124,47,37.90322581,62.09677419,0.379032258,0.379032258064516,"pev_tul","GC","MX",77,0.226902355760455,0.379032258064516,0.564173770870598,0.3790322581,0.379727475007471
"2519","MX","pev_tul","Tul","GC",2519,"D124",2,103,52,50.48543689,49.51456311,0.504854369,0.504854368932039,"pev_tul","GC","MX",51,0.506112802463335,0.504854368932039,1.64734718281561,0.5048543689,0.504826470228161
"2520","MX","pev_tul","Tul","GC",2520,"D124",2,74,29,39.18918919,60.81081081,0.391891892,0.391891891891892,"pev_tul","GC","MX",45,0.255439026103244,0.391891891891892,0.649749200017659,0.3918918919,0.392513202866092
"2521","MX","pff_tul","Tul","RT",2521,"D124",2,179,11,6.145251397,93.8547486,0.061452514,0.0614525139664804,"pff_tul","RT","MX",168,-0.122937879027967,0.0614525139664804,0.517143321627564,0.06145251397,0.0639729018207471
"2523","MX","pff_tul","Tul","RT",2523,"D124",2,254,6,2.362204724,97.63779528,0.023622047,0.0236220472440945,"pff_tul","RT","MX",248,-0.247750318324285,0.0236220472440945,-1.19892076567808,0.02362204724,0.0263598515662069
"2526","MX","pff_tul","Tul","RT",2526,"D124",2,109,4,3.669724771,96.33027523,0.036697248,0.036697247706422,"pff_tul","RT","MX",105,-0.204611869184959,0.036697247706422,-0.478539787795569,0.03669724771,0.0393599072059195
"2527","MX","pff_tul","Tul","RT",2527,"D124",2,78,8,10.25641026,89.74358974,0.102564103,0.102564102564103,"pff_tul","RT","MX",70,0.0126998252826685,0.102564102564103,1.79286000662452,0.1025641026,0.104848216952874
"2528","MX","pff_tul","Tul","RT",2528,"D124",2,109,6,5.504587156,94.49541284,0.055045872,0.055045871559633,"pff_tul","RT","MX",103,-0.144075040052132,0.055045871559633,0.211041744005367,0.05504587156,0.0576030791947127
"2529","MX","pff_tul","Tul","RT",2529,"D124",2,104,11,10.57692308,89.42307692,0.105769231,0.105769230769231,"pff_tul","RT","MX",93,0.0232743675359942,0.105769230769231,2.08718820588381,0.1057692308,0.108034924875862
"2530","MX","pff_tul","Tul","RT",2530,"D124",2,111,6,5.405405405,94.59459459,0.054054054,0.0540540540540541,"pff_tul","RT","MX",105,-0.147347301101498,0.0540540540540541,0.174722365247365,0.05405405405,0.0566169617853448
"2533","MX","pff_tul","Tul","GC",2533,"D124",2,175,64,36.57142857,63.42857143,0.365714286,0.365714285714286,"pff_tul","GC","MX",111,0.196334513451898,0.365714285714286,-0.148674057004577,0.3657142857,0.366486042678736
"2534","MX","pff_tul","Tul","GC",2534,"D124",2,169,52,30.76923077,69.23076923,0.307692308,0.307692307692308,"pff_tul","GC","MX",117,0.0676374415633993,0.307692307692308,-0.577066158888184,0.3076923077,0.308797524322414
"2535","MX","pff_tul","Tul","GC",2535,"D124",2,178,51,28.65168539,71.34831461,0.286516854,0.286516853932584,"pff_tul","GC","MX",127,0.0206687067165767,0.286516853932584,-0.734796545595585,0.2865168539,0.287743768532759
"2536","MX","pff_tul","Tul","GC",2536,"D124",2,174,93,53.44827586,46.55172414,0.534482759,0.53448275862069,"pff_tul","GC","MX",81,0.570675565549836,0.53448275862069,1.09921934888439,0.5344827586,0.534284581826437
